0.15	1.316	0.513	0.533	0.242	0.027	0.017	0.052	0.027	0.004
0.21	1.478	0.516	0.456	0.285	0.022	0.022	0.067	0.019	0.004
0.27	1.648	0.505	0.394	0.324	0.024	0.025	0.037	0.018	0.004
0.33	2.184	0.508	0.38	0.399	0.03	0.029	0.034	0.024	0.004
0.39	2.781	0.509	0.369	0.441	0.043	0.032	0.023	0.038	0.006
0.45	3.053	0.49	0.321	0.448	0.049	0.034	0.024	0.042	0.023
0.213	1.866	0.25	0.417	0.237	0.012	0.02	0.037	0.011	0.006
0.251	1.808	0.35	0.434	0.306	0.012	0.023	0.06	0.01	0.011
0.257	1.734	0.45	0.44	0.32	0.016	0.024	0.049	0.013	0.004
0.253	1.726	0.55	0.427	0.338	0.021	0.024	0.041	0.018	0.004
0.242	1.7	0.65	0.388	0.293	0.033	0.024	0.049	0.03	0.004
0.219	1.56	0.75	0.288	0.18	0.07	0.023	0.057	0.068	0.007
0.281	1.797	0.532	0.062	0.541	0.059	0.026	-0.012	0.045	0.004
0.277	1.764	0.524	0.188	0.36	0.032	0.025	-0.023	0.028	0.004
0.267	1.754	0.512	0.312	0.339	0.025	0.025	0.012	0.022	0.005
0.256	1.714	0.506	0.438	0.289	0.024	0.024	0.047	0.02	0.005
0.243	1.71	0.504	0.562	0.325	0.027	0.023	0.097	0.022	0.005
0.219	1.682	0.501	0.688	0.277	0.037	0.022	0.111	0.032	0.008
0.201	1.711	0.507	0.812	0.273	0.057	0.021	0.005	0.054	0.006
0.175	1.564	0.516	0.938	0.05	0.1	0.019	0.167	0.096	0.019
0.157	1.395	0.496	1.062	-0.35	0.321	0.018	0.248	0.307	0.016
