0.15	1.316	0.505	0.482	0.156	0.045	0.011	-0.027	0.042	0.034
0.21	1.452	0.509	0.418	0.169	0.038	0.014	-0.084	0.029	0.021
0.27	1.589	0.499	0.363	0.264	0.039	0.017	-0.012	0.026	0.02
0.33	2.126	0.502	0.362	0.281	0.049	0.021	-0.044	0.038	0.009
0.39	2.73	0.502	0.36	0.358	0.086	0.024	-0.113	0.073	0.017
0.45	2.977	0.484	0.315	0.241	0.09	0.027	0.032	0.075	0.076
0.209	1.823	0.25	0.413	0.239	0.015	0.016	-0.009	0.014	0.004
0.247	1.767	0.35	0.419	0.244	0.018	0.018	-0.025	0.015	0.009
0.253	1.673	0.45	0.414	0.236	0.025	0.017	-0.015	0.019	0.041
0.249	1.659	0.55	0.393	0.198	0.039	0.016	-0.08	0.03	0.021
0.241	1.632	0.65	0.337	0.198	0.06	0.014	-0.095	0.049	0.006
0.217	1.497	0.75	0.241	0.03	0.128	0.012	-0.004	0.105	0.012
0.269	1.673	0.523	0.062	0.252	0.075	0.017	-0.097	0.055	0.078
0.265	1.663	0.518	0.188	0.163	0.051	0.017	-0.018	0.04	0.008
0.257	1.667	0.504	0.312	0.184	0.042	0.017	0.006	0.031	0.012
0.252	1.658	0.499	0.438	0.248	0.042	0.016	-0.076	0.031	0.016
0.242	1.666	0.493	0.562	0.284	0.046	0.016	-0.012	0.035	0.155
0.218	1.652	0.492	0.688	0.286	0.066	0.015	-0.102	0.054	0.072
0.206	1.729	0.492	0.813	0.128	0.115	0.014	-0.082	0.104	0.015
0.175	1.563	0.502	0.938	-0.096	0.174	0.012	-0.127	0.163	0.022
0.155	1.365	0.491	1.062	-0.227	0.368	0.011	-0.19	0.409	0.004
