# 
# K. Abe et al., E143 collaboration, 
# Measurements of the proton and deuteron spin structure functions g1 and g2, 
# Phys. Rev. D 58 (1998) 112003 [hep-ph/9802357].
#
# DATA FROM TABLE XXX
#
#                        Q^2     A2     stat   syst    g2     stat   syst    gbar2  stat    syst
#  xmin   xmax    <x>    GeV^2     
#                  
#
# DEUTERON
#
 0.029   0.047   0.038   1.49    0.070  0.045  0.010   3.426  2.157  0.575   3.275  2.161  0.575
 0.047   0.075   0.060   2.01   -0.025  0.028  0.006  -0.655  0.707  0.157  -0.799  0.709  0.157
 0.075   0.120   0.095   2.60    0.008  0.032  0.010   0.008  0.390  0.118  -0.048  0.392  0.118
 0.120   0.193   0.152   3.21    0.005  0.045  0.016  -0.118  0.243  0.080  -0.095  0.245  0.080
 0.193   0.310   0.241   3.77    0.078  0.072  0.020   0.127  0.154  0.041   0.134  0.156  0.041
 0.310   0.498   0.378   4.22   -0.079  0.144  0.017  -0.127  0.094  0.010  -0.095  0.096  0.010
 0.498   0.799   0.595   4.56    0.327  0.390  0.044   0.037  0.039  0.004   0.027  0.041  0.004
 0.075   0.120   0.101   3.77    0.024  0.046  0.009   0.172  0.621  0.133   0.084  0.624  0.133
 0.120   0.193   0.154   4.97   -0.007  0.036  0.011  -0.109  0.235  0.076  -0.086  0.237  0.076
 0.193   0.310   0.242   6.37   -0.043  0.043  0.015  -0.133  0.116  0.041  -0.117  0.118  0.041
 0.310   0.498   0.381   7.76    0.000  0.073  0.014  -0.042  0.056  0.011  -0.006  0.057  0.011
 0.498   0.799   0.584   8.86    0.235  0.183  0.030   0.000  0.018  0.003   0.011  0.019  0.003
