# Pretzelosity H- COMPASS
# e- P -> e- h X
# h = H-
#
# PRIVATE, CORRECTED BY DNN
# Proton 2010 results:
#Proceedings SPIN2012
#http://arxiv.org/abs/arXiv:1301.6615
#
#Proton 2010 results:
#Proceedings DIS2013
#http://arxiv.org/abs/arXiv:1307.0183
#
#
#
#
#
#<x>       <Q2>      <y>       <z>      <pt>      A_pret      Sigma_pret 
0.006301 1.268550  0.683048 0.368283 0.520876    -0.001501 0.014414
0.010500 1.556493  0.500443 0.363765 0.523181    -0.005393 0.007792
0.016390 1.848383  0.380136 0.363036 0.513899    0.005593 0.006161 
0.025666 2.190272  0.288317 0.364119 0.498824    -0.000113 0.005049
0.039840 2.850967  0.239596 0.363402 0.487828    -0.004845 0.005221
0.062748 4.364155  0.232704 0.357286 0.489433    0.001827 0.006130 
0.100845 6.764427  0.224560 0.351167 0.489393    -0.004626 0.007408
0.162166 10.545344 0.217524 0.346933 0.488589    -0.011847 0.009498
0.287631 20.528164 0.233627 0.346038 0.516908    0.003539 0.012243

