# Pretzelosity H+ COMPASS
# e- P -> e- h X
# h = H+
#
# PRIVATE, CORRECTED BY DNN
# Proton 2010 results:
#Proceedings SPIN2012
#http://arxiv.org/abs/arXiv:1301.6615
#
#Proton 2010 results:
#Proceedings DIS2013
#http://arxiv.org/abs/arXiv:1307.0183
#
#
#
#
#
#<x>       <Q2>    <y>     <z>     <pt>      A_pret      Sigma_pret 
0.051706 3.638914  0.306754 0.357808 0.154183     0.005548 0.006300 
0.051816 3.641558  0.301029 0.354554 0.251974    -0.004469 0.005221
0.051304 3.649748  0.303841 0.355816 0.349871    -0.006592 0.004951
0.051732 3.745581  0.307121 0.357938 0.448670    -0.002643 0.005199
0.051668 3.825656  0.312135 0.364948 0.547939    -0.010061 0.005775
0.051180 3.918169  0.320938 0.378896 0.668981    -0.011824 0.005669
0.050506 4.046744  0.333789 0.398397 0.817983    -0.002352 0.007450
0.049660 4.303419  0.357844 0.422793 1.048498    0.001919 0.007660 
0.048964 5.123213  0.424864 0.442607 1.582259    -0.002797 0.015784


