# Pretzelosity H+ COMPASS
# e- P -> e- h X
# h = H+
#
# PRIVATE, CORRECTED BY DNN
# Proton 2010 results:
#Proceedings SPIN2012
#http://arxiv.org/abs/arXiv:1301.6615
#
#Proton 2010 results:
#Proceedings DIS2013
#http://arxiv.org/abs/arXiv:1307.0183
#
#
#
#
#
#<x>       <Q2>    <y>     <z>     <pt>      A_pret      Sigma_pret 
0.006336 1.266867   0.678327 0.362718 0.539491     0.010819 0.013878 
0.010522 1.547526   0.496502 0.365819 0.533816     -0.001598 0.007290
0.016416 1.833935   0.376575 0.368155 0.523438     -0.009347 0.005640
0.025721 2.168896   0.284874 0.371747 0.508271     -0.006697 0.004517
0.039906 2.823765   0.236860 0.373784 0.496819     -0.005088 0.004564
0.062879 4.339863   0.230841 0.371750 0.497442     -0.010609 0.005230
0.101133 6.756281   0.223609 0.370552 0.497116     0.002492 0.006130 
0.162563 10.550140  0.216982 0.371488 0.495699     0.001817 0.007616 
0.288197 20.645453  0.234274 0.375828 0.525995     0.002998 0.009578

 
